name,rate,image



Hệ thống Gogi House - Quán Nướng Hàn Quốc - ĐN,7.6,https://images.foody.vn/res/g15/147556/prof/s640x400/foody-mobile-gogi-house-dn1-mb-jp-611-635787900703764814.jpg
Hệ thống Pizza Hut - Đà Nẵng,7.2,https://images.foody.vn/res/g2/18678/prof/s640x400/foody-upload-api-foody-mobile-2-190620163026.jpg
Hệ thống Hancook,7.8,https://images.foody.vn/res/g20/190802/prof/s640x400/foody-upload-api-foody-mobile-hancook-jpg-190103100855.jpg
Hệ thống Quán Trần - Đặc Sản Đà Nẵng,6.7,https://images.foody.vn/res/g1/150/prof/s640x400/foody-mobile--bba8d83926e3bf1c989-524-635931405901928196.jpg
Xiên Que - Nguyễn Thị Minh Khai,7.3,https://images.foody.vn/res/g5/41178/prof/s640x400/foody-mobile-xien-que-sushi-jpg-306-635883649490025589.jpg
Hệ thống Al Fresco’s Pizza Mỳ Ý Sườn Steak Bò Bít Tết - Đà Nẵng,7.9,https://images.foody.vn/res/g4/36228/prof/s640x400/foody-upload-api-foody-mobile-2018122511624-4-sant-190102083757.jpg
Phố Nướng Tokyo,7.5,https://images.foody.vn/res/g22/214989/prof/s640x400/foody-upload-api-foody-mobile-15-190319145437.jpg
Hệ thống PapaSteak,7.6,https://images.foody.vn/res/g16/159179/prof/s640x400/foody-upload-api-foody-mobile-8ddafa3b-63f6-4ce6-a-200221133053.jpg
Hệ thống Faifo Grill & Buffet Restaurant,7.6,https://images.foody.vn/res/g18/170016/prof/s640x400/foody-upload-api-foody-mobile-faifo-jpg-181221150818.jpg
Cuisine De Vin - Bếp Nhà Vin,7.9,https://images.foody.vn/res/g12/115342/prof/s640x400/foody-mobile-vin-22-jpg-536-635984020478644129.jpg
KoKo Green Kafe,7.6,https://images.foody.vn/res/g30/292251/prof/s640x400/foody-upload-api-foody-mobile-koko-green-kafe-jpg-180620103013.jpg
Snow Pizza,7.9,https://images.foody.vn/res/g18/170341/prof/s640x400/foody-mobile-sn-jpg-583-636397115846551906.jpg
Hệ thống Dasushi - Đà Nẵng,7.5,https://images.foody.vn/res/g10/94257/prof/s640x400/foody-mobile-10399619_81147453229-527-635863817212109582.jpg
Hệ thống Lotteria - Gà Rán - Đà Nẵng,7.5,https://images.foody.vn/res/g2/12074/prof/s640x400/foody-upload-api-foody-mobile-4-190620114411.jpg
Cua Biển Quán - Hải Sản Bờ Biển,7.6,https://images.foody.vn/res/g11/106321/prof/s640x400/foody-mobile-cua-bien-jpg.jpg
Hệ thống Lẩu Băng Chuyền Kichi Kichi,8.0,https://images.foody.vn/res/g18/179002/prof/s640x400/foody-mobile-kichi-2-jpg-804-635812066400462640.jpg
Food Center Đà Nẵng,7.8,https://images.foody.vn/res/g23/224233/prof/s640x400/foody-upload-api-foody-mobile-food-center-da-nang--180620165027.jpg
Star Beef,7.6,https://images.foody.vn/res/g9/87167/prof/s640x400/foody-mobile-3-1-jpg-394-635628750690512238.jpg
Sumo BBQ - Buffet Lẩu & Nướng,7.0,https://images.foody.vn/res/g25/244037/prof/s640x400/foody-mobile-m-hu-jpg-590-636010810542005222.jpg
