url,name,rate,image






/da-nang/gogi-house-quan-nuong-han-quoc-vincom-center-da-nang,Hệ thống Gogi House - Quán Nướng Hàn Quốc - ĐN,7.6,https://images.foody.vn/res/g15/147556/prof/s640x400/foody-mobile-gogi-house-dn1-mb-jp-611-635787900703764814.jpg

/da-nang/pizza-hut-le-duan,Hệ thống Pizza Hut - Đà Nẵng,7.2,https://images.foody.vn/res/g2/18678/prof/s640x400/foody-upload-api-foody-mobile-2-190620163026.jpg

/da-nang/han-cook-cafe-food,Hệ thống Hancook,7.8,https://images.foody.vn/res/g20/190802/prof/s640x400/foody-upload-api-foody-mobile-hancook-jpg-190103100855.jpg

/da-nang/banh-trang-thit-heo-tran-le-duan,Hệ thống Quán Trần - Đặc Sản Đà Nẵng,6.7,https://images.foody.vn/res/g1/150/prof/s640x400/foody-mobile--bba8d83926e3bf1c989-524-635931405901928196.jpg

/da-nang/xien-que-nguyen-thi-minh-khai,Xiên Que - Nguyễn Thị Minh Khai,7.3,https://images.foody.vn/res/g5/41178/prof/s640x400/foody-mobile-xien-que-sushi-jpg-306-635883649490025589.jpg

/da-nang/al-fresco-s-pizza-my-y-suon-steak-bo-bit-tet-tran-phu,Hệ thống Al Fresco’s Pizza Mỳ Ý Sườn Steak Bò Bít Tết - Đà Nẵng,7.9,https://images.foody.vn/res/g4/36228/prof/s640x400/foody-upload-api-foody-mobile-2018122511624-4-sant-190102083757.jpg

/da-nang/pho-nuong-tokyo,Phố Nướng Tokyo,7.5,https://images.foody.vn/res/g22/214989/prof/s640x400/foody-upload-api-foody-mobile-15-190319145437.jpg

/da-nang/papasteak-152-phan-thanh,Hệ thống PapaSteak,7.6,https://images.foody.vn/res/g16/159179/prof/s640x400/foody-upload-api-foody-mobile-8ddafa3b-63f6-4ce6-a-200221133053.jpg

/da-nang/cuisine-de-vin,Cuisine De Vin - Bếp Nhà Vin,7.9,https://images.foody.vn/res/g12/115342/prof/s640x400/foody-mobile-vin-22-jpg-536-635984020478644129.jpg

/da-nang/faifo-grill-buffet-restaurant,Hệ thống Faifo Grill & Buffet Restaurant,7.6,https://images.foody.vn/res/g18/170016/prof/s640x400/foody-upload-api-foody-mobile-faifo-jpg-181221150818.jpg

/da-nang/koko-green-kafe,KoKo Green Kafe,7.6,https://images.foody.vn/res/g30/292251/prof/s640x400/foody-upload-api-foody-mobile-koko-green-kafe-jpg-180620103013.jpg

/da-nang/snow-pizza,Snow Pizza,7.9,https://images.foody.vn/res/g18/170341/prof/s640x400/foody-mobile-sn-jpg-583-636397115846551906.jpg

/da-nang/dasushi-nha-hang-nhat-ban,Hệ thống Dasushi - Đà Nẵng,7.5,https://images.foody.vn/res/g10/94257/prof/s640x400/foody-mobile-10399619_81147453229-527-635863817212109582.jpg

/da-nang/lotteria-nguyen-thi-minh-khai,Hệ thống Lotteria - Gà Rán - Đà Nẵng,7.5,https://images.foody.vn/res/g2/12074/prof/s640x400/foody-upload-api-foody-mobile-4-190620114411.jpg

